peptide	countNS	countWS
GO:0004736; GO:0005524; GO:0006090; GO:0006094; GO:0009374; GO:0046872	0	11.4201850250282
GO:0003924; GO:0005525; GO:0016740	0	11.4201850250282
GO:0003924; GO:0005525; GO:0016740	0	11.4201850250282
GO:0003746; GO:0003924; GO:0005525; GO:0005737	0	10.5417092538722
GO:0003924; GO:0005525	0	10.5417092538722
GO:0003746; GO:0003924; GO:0005525; GO:0005737	0	10.5417092538722
GO:0003746; GO:0003924; GO:0005525; GO:0005737	0	10.5417092538722
GO:0003746; GO:0003924; GO:0005525; GO:0005737	0	10.5417092538722
GO:0003746; GO:0003924; GO:0005525; GO:0005737	0	10.5417092538722
GO:0003746; GO:0003924; GO:0005525; GO:0005737	0	10.5417092538722
GO:0003746; GO:0003924; GO:0005525; GO:0005737	0	10.5417092538722
GO:0003746; GO:0003924; GO:0005525; GO:0005737	0	10.5417092538722
GO:0003746; GO:0003924; GO:0005525; GO:0005737	0	10.5417092538722
GO:0003746; GO:0003924; GO:0005525; GO:0005737	0	10.5417092538722
GO:0003746; GO:0003924; GO:0005525; GO:0005737	0	10.5417092538722
GO:0003746; GO:0003924; GO:0005525; GO:0005737	0	10.5417092538722
GO:0003755; GO:0005737; GO:0006457; GO:0007049; GO:0015031; GO:0051301	0	9.66323348271615
GO:0005623; GO:0009055; GO:0016668; GO:0045454; GO:0050660	0	9.66323348271615
GO:0006633; GO:0033817	0	9.66323348271615
GO:0051082	0	9.66323348271615
GO:0003676; GO:0016114; GO:0019288; GO:0046872; GO:0050992; GO:0051539; GO:0051745	0	9.66323348271615
GO:0005840; GO:0006412; GO:0042254; GO:0070180	0	9.66323348271615
GO:0006633; GO:0033817	0	9.66323348271615
	0	9.66323348271615
GO:0006633; GO:0033817	0	9.66323348271615
GO:0006633; GO:0033817	0	9.66323348271615
GO:0005840; GO:0006412; GO:0042254; GO:0070180	0	9.66323348271615
GO:0003676; GO:0016114; GO:0019288; GO:0046872; GO:0050992; GO:0051539; GO:0051745	0	9.66323348271615
GO:0003676; GO:0016114; GO:0019288; GO:0046872; GO:0050992; GO:0051539; GO:0051745	0	9.66323348271615
GO:0003676; GO:0016114; GO:0019288; GO:0046872; GO:0050992; GO:0051539; GO:0051745	0	9.66323348271615
GO:0003676; GO:0016114; GO:0019288; GO:0046872; GO:0050992; GO:0051539; GO:0051745	0	9.66323348271615
GO:0003676; GO:0016114; GO:0019288; GO:0046872; GO:0050992; GO:0051539; GO:0051745	0	9.66323348271615
GO:0003676; GO:0016114; GO:0019288; GO:0046872; GO:0050992; GO:0051539; GO:0051745	0	9.66323348271615
GO:0003676; GO:0016114; GO:0019288; GO:0046872; GO:0050992; GO:0051539; GO:0051745	0	9.66323348271615
GO:0003676; GO:0016114; GO:0019288; GO:0046872; GO:0050992; GO:0051539; GO:0051745	0	9.66323348271615
